Time[s], Channel 1
1.3570515625, 0
1.3570646875, 1
1.3570779375, 0
1.357091125, 1
1.357104375, 0
1.3571175, 1
1.3571308125, 0
1.3571439375, 1
1.3571571875, 0
1.3571703125, 1
1.357183625, 0
1.35719675, 1
1.35721, 0
1.3572231875, 1
1.3572364375, 0
1.3572495625, 1
1.357262875, 0
1.357276, 1
1.35728925, 0
1.3573024375, 1
1.3573156875, 0
1.3573288125, 1
1.357342125, 0
1.35735525, 1
1.3573685, 0
1.357381625, 1
1.3573949375, 0
1.3574080625, 1
1.3574213125, 0
1.35872275, 1
1.358736, 0
1.358749125, 1
1.3587624375, 0
1.3587755625, 1
1.358788875, 0
1.358802, 1
1.35881525, 0
1.358828375, 1
1.3588416875, 0
1.3588548125, 1
1.3588680625, 0
1.3588811875, 1
1.3588945, 0
1.358907625, 1
1.358920875, 0
1.358934, 1
1.3589473125, 0
1.3589604375, 1
1.35897375, 0
1.358986875, 1
1.359000125, 0
1.35901325, 1
1.3590265625, 0
1.3590396875, 1
1.359053, 0
1.359066125, 1
1.359079375, 0
1.3590925, 1
1.3591058125, 0
1.3591189375, 1
1.35913225, 0
1.3604335625, 1
1.3604468125, 0
1.36046, 1
1.36047325, 0
1.360486375, 1
1.3604996875, 0
1.3605128125, 1
1.3605260625, 0
1.3605391875, 1
1.3605525, 0
1.360565625, 1
1.360578875, 0
1.360592, 1
1.3606053125, 0
1.3606184375, 1
1.3606316875, 0
1.3606448125, 1
1.360658125, 0
1.36067125, 1
1.3606845, 0
1.3606976875, 1
1.3607109375, 0
1.3607240625, 1
1.360737375, 0
1.3607505, 1
1.36076375, 0
1.3607769375, 1
1.3607901875, 0
1.3608033125, 1
1.360816625, 0
1.36082975, 1
1.360843, 0
1.36214475, 1
1.362158, 0
1.3621711875, 1
1.3621844375, 0
1.3621975625, 1
1.362210875, 0
1.362224, 1
1.36223725, 0
1.362250375, 1
1.3622636875, 0
1.3622768125, 1
1.362290125, 0
1.36230325, 1
1.3623165, 0
1.3623296875, 1
1.3623429375, 0
1.3623560625, 1
1.362369375, 0
1.3623825, 1
1.36239575, 0
1.3624089375, 1
1.3624221875, 0
1.3624353125, 1
1.362448625, 0
1.36246175, 1
1.362475, 0
1.3624881875, 1
1.3625014375, 0
1.3625145625, 1
1.362527875, 0
1.362541, 1
1.36255425, 0
1.36385575, 1
1.3638690625, 0
1.3638821875, 1
1.3638955, 0
1.363908625, 1
1.363921875, 0
1.363935, 1
1.3639483125, 0
1.3639614375, 1
1.3639746875, 0
1.363987875, 1
1.364001125, 0
1.36401425, 1
1.3640275625, 0
1.3640406875, 1
1.3640539375, 0
1.3640670625, 1
1.364080375, 0
1.3640935, 1
1.36410675, 0
1.3641199375, 1
1.3641331875, 0
1.3641463125, 1
1.364159625, 0
1.36417275, 1
1.364186, 0
1.364199125, 1
1.3642124375, 0
1.3642255625, 1
1.364238875, 0
1.364252, 1
1.36426525, 0
1.36556475, 1
1.365578, 0
1.365591125, 1
1.3656044375, 0
1.3656175625, 1
1.3656308125, 0
1.3656439375, 1
1.36565725, 0
1.365670375, 1
1.365683625, 0
1.36569675, 1
1.3657100625, 0
1.3657231875, 1
1.3657364375, 0
1.365749625, 1
1.365762875, 0
1.365776, 1
1.3657893125, 0
1.3658024375, 1
1.3658156875, 0
1.3658288125, 1
1.365842125, 0
1.36585525, 1
1.3658685, 0
1.365881625, 1
1.3658949375, 0
1.3659080625, 1
1.3659213125, 0
1.3659345, 1
1.36594775, 0
1.365960875, 1
1.3659741875, 0
1.3659873125, 1
1.3660005625, 0
1.3660136875, 1
1.366027, 0
1.366040125, 1
1.366053375, 0
1.3660665625, 1
1.3660798125, 0
1.3660929375, 1
1.36610625, 0
1.366119375, 1
1.366132625, 0
1.3661458125, 1
1.3661590625, 0
1.3661721875, 1
1.3661855, 0
1.366198625, 1
1.366211875, 0
1.3662250625, 1
1.3662383125, 0
1.3662514375, 1
1.36626475, 0
1.366277875, 1
1.3662911875, 0
1.3663043125, 1
1.3663175625, 0
1.3663306875, 1
1.366344, 0
1.366357125, 1
1.366370375, 0
1.3663835625, 1
1.3663968125, 0
1.3664099375, 1
1.36642325, 0
1.366436375, 1
1.366449625, 0
1.36646275, 1
1.3664760625, 0
1.3664891875, 1
1.3665024375, 0
1.3665155625, 1
1.366528875, 0
1.366542, 1
1.3665553125, 0
1.3665684375, 1
1.3665816875, 0
1.3665948125, 1
1.366608125, 0
1.36662125, 1
1.3666345, 0
1.366647625, 1
1.3666609375, 0
1.3666740625, 1
1.366687375, 0
1.3667005, 1
1.36671375, 0
1.366726875, 1
1.3667401875, 0
1.3667533125, 1
1.3667665625, 0
1.36677975, 1
1.366793, 0
1.366806125, 1
1.3668194375, 0
1.3739738125, 1
1.373987125, 0
1.37400025, 1
1.3740135625, 0
1.3740266875, 1
1.3740399375, 0
1.3740530625, 1
1.374066375, 0
1.3740795, 1
1.37409275, 0
1.374105875, 1
1.3741191875, 0
1.3741323125, 1
1.3741455625, 0
1.37415875, 1
1.374172, 0
1.374185125, 1
1.3741984375, 0
1.3742115625, 1
1.3742248125, 0
1.3742379375, 1
1.37425125, 0
1.374264375, 1
1.374277625, 0
1.3742908125, 1
1.3743040625, 0
1.3743171875, 1
1.3743305, 0
1.374343625, 1
1.374356875, 0
1.37437, 1
1.3743833125, 0
1.3743964375, 1
1.3744096875, 0
1.374422875, 1
1.374436125, 0
1.37444925, 1
1.3744625625, 0
1.3744756875, 1
1.3744889375, 0
1.3745020625, 1
1.374515375, 0
1.3745285, 1
1.37454175, 0
1.374554875, 1
1.3745681875, 0
1.3745813125, 1
1.374594625, 0
1.37460775, 1
1.374621, 0
1.374634125, 1
1.3746474375, 0
1.3746605625, 1
1.3746738125, 0
1.374687, 1
1.37470025, 0
1.374713375, 1
1.3747266875, 0
1.3747398125, 1
1.3747530625, 0
1.3747661875, 1
1.3747795, 0
1.374792625, 1
1.374805875, 0
1.374819, 1
1.3748323125, 0
1.3748454375, 1
1.3748586875, 0
1.374871875, 1
1.374885125, 0
1.37489825, 1
1.3749115, 0
1.374924625, 1
1.3749379375, 0
1.3749510625, 1
1.3749643125, 0
1.3749775, 1
1.37499075, 0
1.375003875, 1
1.3750171875, 0
1.3750303125, 1
1.3750435625, 0
1.3750566875, 1
1.37507, 0
1.375083125, 1
1.375096375, 0
1.3751095, 1
1.3751228125, 0
1.3751359375, 1
1.3751491875, 0
1.375162375, 1
1.375175625, 0
1.37518875, 1
1.375202, 0
1.3752151875, 1
1.3752284375, 0
1.375672, 1
1.3756853125, 0
1.3756984375, 1
1.3757116875, 0
1.3757248125, 1
1.375738125, 0
1.37575125, 1
1.3757645625, 0
1.3757776875, 1
1.3757909375, 0
1.3758040625, 1
1.375817375, 0
1.3758305, 1
1.3758438125, 0
1.3758569375, 1
1.3758701875, 0
1.3758833125, 1
1.375896625, 0
1.37590975, 1
1.375923, 0
1.3759361875, 1
1.3759494375, 0
1.3759625625, 1
1.375975875, 0
1.375989, 1
1.37600225, 0
1.376015375, 1
1.3760286875, 0
1.3760418125, 1
1.3760550625, 0
1.37606825, 1
1.3760815, 0
1.376094625, 1
1.3761079375, 0
1.3761210625, 1
1.3761343125, 0
1.3761474375, 1
1.37616075, 0
1.376173875, 1
1.3761871875, 0
1.3762003125, 1
1.3762135625, 0
1.3762266875, 1
1.37624, 0
1.376253125, 1
1.376266375, 0
1.3762795625, 1
1.3762928125, 0
1.3763059375, 1
1.37631925, 0
1.376332375, 1
1.376345625, 0
1.3763588125, 1
1.3763720625, 0
1.3763851875, 1
1.3763985, 0
1.376411625, 1
1.376424875, 0
1.376438, 1
1.3764513125, 0
1.3764644375, 1
1.3764776875, 0
1.376490875, 1
1.376504125, 0
1.37651725, 1
1.3765305625, 0
1.3765436875, 1
1.3765569375, 0
1.3765700625, 1
1.376583375, 0
1.3765965, 1
1.37660975, 0
1.376622875, 1
1.3766361875, 0
1.3766493125, 1
1.376662625, 0
1.37667575, 1
1.376689, 0
1.376702125, 1
1.3767154375, 0
1.3767285625, 1
1.376741875, 0
1.376755, 1
1.37676825, 0
1.376781375, 1
1.3767946875, 0
1.3768078125, 1
1.3768210625, 0
1.3768341875, 1
1.3768475, 0
1.376860625, 1
1.3768739375, 0
1.3768870625, 1
1.3769003125, 0
1.3769134375, 1
1.37692675, 0
1.377370375, 1
1.377383625, 0
1.37739675, 1
1.3774100625, 0
1.3774231875, 1
1.3774364375, 0
1.3774495625, 1
1.377462875, 0
1.377476, 1
1.3774893125, 0
1.3775024375, 1
1.3775156875, 0
1.377528875, 1
1.377542125, 0
1.37755525, 1
1.3775685625, 0
1.3775816875, 1
1.377595, 0
1.377608125, 1
1.377621375, 0
1.3776345, 1
1.3776478125, 0
1.3776609375, 1
1.37767425, 0
1.377687375, 1
1.377700625, 0
1.3777138125, 1
1.3777270625, 0
1.3777401875, 1
1.3777535, 0
1.377766625, 1
1.3777799375, 0
1.37907225, 1
1.3790855625, 0
1.3790986875, 1
1.3791119375, 0
1.3791250625, 1
1.379138375, 0
1.3791515, 1
1.37916475, 0
1.3791779375, 1
1.3791911875, 0
1.3792043125, 1
1.379217625, 0
1.37923075, 1
1.379244, 0
1.379257125, 1
1.3792704375, 0
1.3792835625, 1
1.3792968125, 0
1.37931, 1
1.37932325, 0
1.379336375, 1
1.3793496875, 0
1.3793628125, 1
1.3793760625, 0
1.3793891875, 1
1.3794025, 0
1.379415625, 1
1.3794289375, 0
1.3794420625, 1
1.3794553125, 0
1.3794684375, 1
1.37948175, 0
1.379494875, 1
1.379508125, 0
1.37952125, 1
1.3795345625, 0
1.3795476875, 1
1.3795609375, 0
1.379574125, 1
1.379587375, 0
1.3796005, 1
1.3796138125, 0
1.3796269375, 1
1.3796401875, 0
1.3796533125, 1
1.379666625, 0
1.37967975, 1
1.379693, 0
1.3797061875, 1
1.3797194375, 0
1.3797325625, 1
1.379745875, 0
1.379759, 1
1.3797723125, 0
1.3797854375, 1
1.3797986875, 0
1.3798118125, 1
1.379825125, 0
1.37983825, 1
1.3798515625, 0
1.3798646875, 1
1.3798779375, 0
1.3798910625, 1
1.379904375, 0
1.3799175, 1
1.3799308125, 0
1.3799439375, 1
1.3799571875, 0
1.3799703125, 1
1.379983625, 0
1.37999675, 1
1.38001, 0
1.3800231875, 1
1.3800364375, 0
1.3800495625, 1
1.380062875, 0
1.380076, 1
1.38008925, 0
1.380102375, 1
1.3801156875, 0
1.3801288125, 1
1.3801420625, 0
1.38015525, 1
1.3801685, 0
1.380181625, 1
1.3801949375, 0
1.3802080625, 1
1.3802213125, 0
1.3802345, 1
1.38024775, 0
1.380260875, 1
1.3802741875, 0
1.3802873125, 1
1.3803005625, 0
1.38031375, 1
1.380327, 0
1.3807736875, 1
1.3807869375, 0
1.3808000625, 1
1.380813375, 0
1.3808265, 1
1.38083975, 0
1.3808529375, 1
1.3808661875, 0
1.3808793125, 1
1.380892625, 0
1.38090575, 1
1.380919, 0
1.380932125, 1
1.3809454375, 0
1.3809585625, 1
1.380971875, 0
1.380985, 1
1.38099825, 0
1.381011375, 1
1.3810246875, 0
1.3810378125, 1
1.3810510625, 0
1.38106425, 1
1.3810775, 0
1.381090625, 1
1.3811039375, 0
1.3811170625, 1
1.381130375, 0
1.3811435, 1
1.38115675, 0
1.381169875, 1
1.3811831875, 0
1.3811963125, 1
1.3812095625, 0
1.38122275, 1
1.381236, 0
